自媒体	name	匹配度	总停留时长
汽车头条	红旗L5	26	19750.63331905099
汽车头条	轩逸	26	81461.22853996545
汽车头条	皇冠	25	37326.25435237048
汽车头条	缤智	25	102775.9312332843
汽车头条	丰田86	25	1255.1510969190313
汽车头条	宝马5系	24	79612.19613862487
汽车头条	保时捷911	24	4388.069757620095
汽车头条	标致308	24	4862.84230768763
汽车头条	奔驰E级	24	25544.901154309817
汽车头条	撼路者	24	12990.318624071822
汽车头条	一汽-大众CC	24	50124.75239435758
汽车头条	欧诺	24	4388.251984389187
汽车头条	迈腾	23	136091.86248255597
汽车头条	帕萨特	23	70072.76810749355
汽车头条	名图	23	5802.3248220185815
汽车头条	君越	22	7466.720224594586
汽车头条	揽胜运动版	21	3222.3609078009786
汽车头条	瑞风M3	21	175.47712944332662
汽车头条	奥迪A3	21	27272.035779454287
汽车头条	宝马3系	21	23819.58788626178
汽车头条	海马S5	20	2579.4395269892116
汽车头条	启辰T70	20	2717.0583972062423
汽车头条	奥迪A4L	19	27548.165541753617
汽车头条	奥迪A6L	19	24049.435844800784
汽车头条	奔驰C级	19	12115.958364606804
汽车头条	悦纳	17	314.21495256187586
汽车头条	悦翔V7	17	1326.1817261068022
汽车头条	哈弗H5	15	7446.322110102165
汽车头条	东南DX7	12	5430.0380389135
汽车头条	绅宝X35	7	1161.0987173310825
自媒体	name	匹配度	总停留时长
汽车之家	福克斯	84	27950.079470645163
汽车之家	科鲁兹	75	14582.04139815059
汽车之家	POLO	75	1985.9422459537677
汽车之家	桑塔纳	74	32799.10151574494
汽车之家	福睿斯	73	14674.293555264087
汽车之家	科沃兹	73	2328.483194380925
汽车之家	威朗	73	7965.809930658502
汽车之家	瑞纳	69	4790.166548195772
汽车之家	起亚K2	69	1843.476838669656
汽车之家	逸动	69	11893.744796869945
汽车之家	明锐	68	19510.411982108817
汽车之家	宝来	68	45454.655130014304
汽车之家	长安CS35	68	14899.226982404081
汽车之家	锋范	66	11179.046836010402
汽车之家	凌渡	66	10692.993571476833
汽车之家	哥瑞	66	816.3417146615003
汽车之家	雷凌	65	26697.640358128596
汽车之家	速腾	65	81997.5186862966
汽车之家	高尔夫	65	11702.907171214754
汽车之家	马自达CX-4	64	3859.242537718805
汽车之家	标致3008	64	1352.0222445192162
汽车之家	荣威360	63	663.9629781302112
汽车之家	威驰	63	27643.704820026807
汽车之家	瑞风S2	63	3738.729607544531
汽车之家	森雅R7	62	6813.108448106376
汽车之家	哈弗H1	62	1739.26217277544
汽车之家	思域	62	129027.18135808622
汽车之家	五菱之光	62	1651.5414586981292
汽车之家	起亚K5	62	1749.0062279832089
汽车之家	飞度	61	74320.81444362082
汽车之家	杰德	61	11098.39018288563
汽车之家	凌派	60	8049.010221799942
汽车之家	途胜	60	6827.519048452928
汽车之家	瑞虎3	60	4113.333224305898
汽车之家	标致4008	59	12211.737150392135
汽车之家	长安CX70	58	21712.13775961125
汽车之家	马自达CX-5	58	20568.87759633008
汽车之家	荣威RX5	57	65272.83369385158
汽车之家	马自达MX-5	57	21265.24125850885
汽车之家	北汽幻速S6	57	570.9310924866224
汽车之家	东风风光580	57	28785.412042944634
汽车之家	比亚迪F3	57	7442.3877811985185
汽车之家	远景	56	47469.546440169994
汽车之家	本田XR-V	56	20126.395957799683
汽车之家	启辰T90	56	8134.083945091544
汽车之家	英朗	56	120498.22132318399
汽车之家	艾瑞泽7	56	1899.2748152004162
汽车之家	瑞风S3	56	23828.9579968033
汽车之家	大迈X5	56	609.4293439350239
汽车之家	指南者	55	29081.114085842328
汽车之家	欧尚	55	33952.051896192614
汽车之家	翼虎	55	17959.270023640427
汽车之家	Yeti	55	2591.366464077462
汽车之家	RAV4荣放	55	20104.794167056192
汽车之家	宝骏560	54	70142.82480832722
